"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1762.30243978007
"FDW14","OUT017",1439.60368592472
"NCN55","OUT010",818.094911201112
"FDQ58","OUT017",2572.57382257441
"FDY38","OUT027",6089.08052371633
"FDH56","OUT046",1911.52915413348
"FDL48","OUT018",685.794604032045
"FDC48","OUT027",2233.39943249257
"FDN33","OUT045",1448.36269085155
"FDA36","OUT017",3305.28044621917
"FDT44","OUT017",1980.0810384393
"FDQ56","OUT045",1323.75832841863
"NCC54","OUT019",835.620702222044
"FDU11","OUT049",1983.77278001528
"DRL59","OUT013",775.821180322657
"FDM24","OUT049",2529.01986170322
"FDI57","OUT045",3123.75279063638
"DRC12","OUT018",2781.10857772285
"NCM42","OUT027",2652.57131953664
"FDA46","OUT010",316.614517782119
"FDA31","OUT013",2847.72203466563
"NCJ31","OUT035",3898.17252518318
"FDG52","OUT046",740.702191741592
"NCL19","OUT019",486.869971835124
"FDS10","OUT035",3121.64009007913
"FDX22","OUT010",607.264356725539
"NCF19","OUT035",743.535975885787
"NCE06","OUT046",2567.69321175538
"DRC27","OUT046",3865.98710106009
"FDE21","OUT035",2097.32409940191
"NCR42","OUT019",6.15338602277303
"FDX51","OUT018",2803.20593707604
"NCR06","OUT018",655.384054420444
"FDU31","OUT027",5378.60072738231
"FDU59","OUT017",2648.24624093459
"FDR03","OUT027",5339.48762114824
"FDS49","OUT027",2285.64717856975
"FDD48","OUT010",539.063865777081
"NCF18","OUT017",3294.68669332197
"NCD43","OUT027",2542.72589851965
"NCD54","OUT018",1709.41086042169
"FDY19","OUT010",539.063865777081
"NCY54","OUT017",2955.03937571131
"NCL19","OUT018",2192.28972532669
"FDP23","OUT010",574.565348145149
"FDC26","OUT013",1713.74918420169
"FDR14","OUT010",111.805394209336
"NCS41","OUT035",3259.01905313645
"FDF41","OUT035",3945.68342585614
"FDU34","OUT046",1932.96793310795
"DRH11","OUT046",877.764402408686
"FDM03","OUT013",1688.60007258729
"FDS31","OUT017",3092.48478152043
"FDJ20","OUT017",2001.51981741376
"FDV44","OUT027",5031.65862664271
"FDG02","OUT049",3335.91411142845
"FDA09","OUT013",3004.67429581173
"FDT04","OUT013",669.572960761972
"FDL58","OUT019",881.01900744826
"FDE52","OUT045",1353.05512482554
"FDW12","OUT035",2552.91250819736
"FDL51","OUT017",3627.71160512959
"NCY42","OUT027",3462.91333657809
"FDR07","OUT017",1444.03755601826
"FDN40","OUT045",2370.45644487453
"FDB35","OUT027",2454.14927610448
"FDA22","OUT017",2722.310293821
"NCL06","OUT046",3807.48343135398
"FDI35","OUT013",2964.82975104206
"NCW42","OUT045",3440.23307781275
"NCX06","OUT049",3145.72315368129
"FDC37","OUT027",2536.57996391511
"FDZ14","OUT018",1634.62134856937
"DRG49","OUT049",4017.24002455073
"NCG06","OUT045",3740.09734185134
"DRC36","OUT045",2721.25723977776
"FDV21","OUT019",543.316568789373
"FDB53","OUT046",2448.51708447561
"DRP47","OUT019",939.905133242804
"FDA14","OUT013",2454.72870535617
"DRC24","OUT035",2619.71309591175
"FDW21","OUT018",1454.49531938136
"NCH29","OUT046",1536.11907636371
"FDU58","OUT013",3172.29641088082
"FDY27","OUT017",3112.88372083273
"FDV56","OUT035",1850.78704219776
"FDT59","OUT046",3812.91169786077
"FDB23","OUT046",3578.14776448491
"FDR49","OUT045",733.612869411982
"FDB03","OUT010",868.020786407738
"FDN39","OUT045",2544.42440503129
"FDX02","OUT027",6007.90430321623
"FDQ16","OUT027",2554.56392869374
"FDU35","OUT018",1447.94825086345
"NCT29","OUT013",1909.3772587617
"FDZ27","OUT046",770.850416092924
"FDN57","OUT017",2271.17486716066
"FDA03","OUT018",2162.17164481042
"FDZ36","OUT045",3003.80949719402
"NCU05","OUT013",1214.81125082929
"FDT39","OUT018",2198.08973080671
"FDK60","OUT017",1593.68888825229
"FDZ25","OUT017",2933.20585898526
"FDG12","OUT046",1945.31500710587
"DRB01","OUT019",297.736235844824
"NCC43","OUT027",6156.34979626269
"FDX13","OUT019",814.92283851505
"FDM22","OUT049",860.783127081286
"FDJ03","OUT027",1418.98620887737
"FDU14","OUT018",3537.66021486246
"FDB33","OUT010",447.624815056994
"FDP27","OUT046",3180.33735934127
"FDO38","OUT010",294.291724484
"FDE28","OUT027",6056.68043953063
"FDO27","OUT035",1675.19843157999
"DRL23","OUT027",2542.72589851965
"FDS28","OUT046",871.964396928673
"FDX24","OUT013",1393.56385421364
"FDZ02","OUT035",1676.29961521751
"FDL46","OUT045",1835.26841467483
